using device: mps
Total Parameters: 30,142,848
Trainable Parameters: 30,142,848
Model Size: 114.99 MB

Size by component:
transformer: 114.99 MB
loaded 338025 tokens
1 epoch = 82 batches
Training for 20000 steps
step 1640, loss: 4.2384, avg_loss: 4.0147, best_loss: 3.5503, lr: 1.86e-04, time/batch: 1.022s
step 1650, loss: 4.0567, avg_loss: 4.0098, best_loss: 3.5503, lr: 1.87e-04, time/batch: 1.018s
step 1660, loss: 3.8372, avg_loss: 3.9893, best_loss: 3.5503, lr: 1.88e-04, time/batch: 1.017s
step 1670, loss: 3.8966, avg_loss: 3.9934, best_loss: 3.5503, lr: 1.88e-04, time/batch: 1.015s
step 1680, loss: 3.8295, avg_loss: 3.9946, best_loss: 3.5503, lr: 1.89e-04, time/batch: 1.018s
step 1690, loss: 3.8286, avg_loss: 3.9706, best_loss: 3.5503, lr: 1.90e-04, time/batch: 1.019s
step 1700, loss: 4.2268, avg_loss: 3.9841, best_loss: 3.5503, lr: 1.90e-04, time/batch: 1.023s
step 1710, loss: 3.6710, avg_loss: 3.9728, best_loss: 3.5503, lr: 1.91e-04, time/batch: 1.021s
step 1720, loss: 4.1980, avg_loss: 3.9223, best_loss: 3.4703, lr: 1.92e-04, time/batch: 1.016s
step 1730, loss: 3.7201, avg_loss: 3.9167, best_loss: 3.4703, lr: 1.92e-04, time/batch: 1.014s
step 1740, loss: 3.9339, avg_loss: 3.9065, best_loss: 3.4698, lr: 1.93e-04, time/batch: 1.022s
step 1750, loss: 4.0091, avg_loss: 3.9021, best_loss: 3.4581, lr: 1.93e-04, time/batch: 1.025s
step 1760, loss: 3.8025, avg_loss: 3.9061, best_loss: 3.4581, lr: 1.94e-04, time/batch: 1.046s
step 1770, loss: 3.7675, avg_loss: 3.8814, best_loss: 3.4581, lr: 1.94e-04, time/batch: 1.026s
step 1780, loss: 3.9293, avg_loss: 3.8894, best_loss: 3.4581, lr: 1.95e-04, time/batch: 1.027s
step 1790, loss: 3.7397, avg_loss: 3.8895, best_loss: 3.4581, lr: 1.95e-04, time/batch: 1.025s
step 1800, loss: 3.4140, avg_loss: 3.8376, best_loss: 3.3957, lr: 1.96e-04, time/batch: 1.032s
step 1810, loss: 3.6233, avg_loss: 3.8317, best_loss: 3.3793, lr: 1.96e-04, time/batch: 1.024s
step 1820, loss: 3.3854, avg_loss: 3.8204, best_loss: 3.3793, lr: 1.97e-04, time/batch: 1.026s
step 1830, loss: 3.8944, avg_loss: 3.8077, best_loss: 3.3699, lr: 1.97e-04, time/batch: 1.018s
step 1840, loss: 3.7354, avg_loss: 3.8129, best_loss: 3.3699, lr: 1.97e-04, time/batch: 1.026s
step 1850, loss: 3.7680, avg_loss: 3.7964, best_loss: 3.3699, lr: 1.98e-04, time/batch: 1.027s
step 1860, loss: 4.3489, avg_loss: 3.7945, best_loss: 3.3699, lr: 1.98e-04, time/batch: 1.027s
step 1870, loss: 3.7998, avg_loss: 3.8019, best_loss: 3.3699, lr: 1.98e-04, time/batch: 1.026s
step 1880, loss: 3.6077, avg_loss: 3.7659, best_loss: 3.3699, lr: 1.98e-04, time/batch: 1.028s
step 1890, loss: 3.6811, avg_loss: 3.7476, best_loss: 3.2734, lr: 1.99e-04, time/batch: 1.029s
step 1900, loss: 3.6155, avg_loss: 3.7413, best_loss: 3.2734, lr: 1.99e-04, time/batch: 1.038s
step 1910, loss: 3.9023, avg_loss: 3.7217, best_loss: 3.2734, lr: 1.99e-04, time/batch: 1.029s
step 1920, loss: 3.7815, avg_loss: 3.7298, best_loss: 3.2734, lr: 1.99e-04, time/batch: 1.029s
step 1930, loss: 3.8311, avg_loss: 3.7177, best_loss: 3.2734, lr: 1.99e-04, time/batch: 1.028s
step 1940, loss: 3.8349, avg_loss: 3.7022, best_loss: 3.2734, lr: 2.00e-04, time/batch: 1.033s
step 1950, loss: 3.5336, avg_loss: 3.7157, best_loss: 3.2734, lr: 2.00e-04, time/batch: 1.041s
step 1960, loss: 3.4180, avg_loss: 3.6892, best_loss: 3.2734, lr: 2.00e-04, time/batch: 1.029s
step 1970, loss: 3.7474, avg_loss: 3.6603, best_loss: 3.1832, lr: 2.00e-04, time/batch: 1.236s
step 1980, loss: 3.4698, avg_loss: 3.6499, best_loss: 3.1832, lr: 2.00e-04, time/batch: 1.175s
step 1990, loss: 3.7728, avg_loss: 3.6280, best_loss: 3.1832, lr: 2.00e-04, time/batch: 1.022s
step 2000, loss: 3.5746, avg_loss: 3.6361, best_loss: 3.1832, lr: 2.00e-04, time/batch: 1.052s
step 2010, loss: 3.4857, avg_loss: 3.6304, best_loss: 3.1832, lr: 2.00e-04, time/batch: 1.028s
step 2020, loss: 3.9061, avg_loss: 3.6090, best_loss: 3.1832, lr: 2.00e-04, time/batch: 1.035s
step 2030, loss: 3.6378, avg_loss: 3.6291, best_loss: 3.1832, lr: 2.00e-04, time/batch: 1.042s
step 2040, loss: 3.5828, avg_loss: 3.6148, best_loss: 3.1832, lr: 2.00e-04, time/batch: 1.039s
step 2050, loss: 3.7809, avg_loss: 3.5716, best_loss: 3.1173, lr: 2.00e-04, time/batch: 1.052s
step 2060, loss: 3.6275, avg_loss: 3.5610, best_loss: 3.1173, lr: 2.00e-04, time/batch: 1.052s
step 2070, loss: 3.4170, avg_loss: 3.5429, best_loss: 3.1173, lr: 2.00e-04, time/batch: 1.037s
step 2080, loss: 3.4338, avg_loss: 3.5495, best_loss: 3.1173, lr: 2.00e-04, time/batch: 1.034s
step 2090, loss: 3.3477, avg_loss: 3.5476, best_loss: 3.1173, lr: 2.00e-04, time/batch: 1.041s
step 2100, loss: 3.4215, avg_loss: 3.5244, best_loss: 3.1173, lr: 2.00e-04, time/batch: 1.033s
step 2110, loss: 3.8133, avg_loss: 3.5418, best_loss: 3.1173, lr: 2.00e-04, time/batch: 1.042s
step 2120, loss: 3.2549, avg_loss: 3.5332, best_loss: 3.1173, lr: 2.00e-04, time/batch: 1.033s
step 2130, loss: 3.7270, avg_loss: 3.4854, best_loss: 3.0511, lr: 2.00e-04, time/batch: 1.035s
step 2140, loss: 3.3046, avg_loss: 3.4772, best_loss: 3.0511, lr: 2.00e-04, time/batch: 1.024s
step 2150, loss: 3.5087, avg_loss: 3.4676, best_loss: 3.0511, lr: 2.00e-04, time/batch: 1.128s
step 2160, loss: 3.5591, avg_loss: 3.4654, best_loss: 3.0480, lr: 2.00e-04, time/batch: 1.139s
step 2170, loss: 3.3438, avg_loss: 3.4675, best_loss: 3.0480, lr: 2.00e-04, time/batch: 1.132s
step 2180, loss: 3.3481, avg_loss: 3.4417, best_loss: 3.0480, lr: 2.00e-04, time/batch: 1.134s
step 2190, loss: 3.5144, avg_loss: 3.4514, best_loss: 3.0480, lr: 2.00e-04, time/batch: 1.136s
step 2200, loss: 3.3221, avg_loss: 3.4514, best_loss: 3.0480, lr: 2.00e-04, time/batch: 1.153s
step 2210, loss: 3.0454, avg_loss: 3.4047, best_loss: 3.0094, lr: 2.00e-04, time/batch: 1.139s
step 2220, loss: 3.1898, avg_loss: 3.3986, best_loss: 2.9727, lr: 2.00e-04, time/batch: 1.135s
step 2230, loss: 2.9893, avg_loss: 3.3871, best_loss: 2.9727, lr: 2.00e-04, time/batch: 1.160s
step 2240, loss: 3.4107, avg_loss: 3.3739, best_loss: 2.9372, lr: 2.00e-04, time/batch: 1.144s
step 2250, loss: 3.2554, avg_loss: 3.3740, best_loss: 2.9372, lr: 2.00e-04, time/batch: 1.176s
step 2260, loss: 3.2824, avg_loss: 3.3547, best_loss: 2.9372, lr: 2.00e-04, time/batch: 1.157s
step 2270, loss: 3.9403, avg_loss: 3.3528, best_loss: 2.9372, lr: 2.00e-04, time/batch: 1.057s
